cv,mean,std,min,max,iqr,entropy,spear_energy,spear_cage,spear_trpcage_like
c_heavy_s4_r08_b3,0.07828977870296898,0.03830430108044693,4.8464320570928976e-05,0.2131147235631942,0.055127933621406555,0.8909751104493405,-0.2008148437996591,0.48019491138168846,
c_heavy_s4_r08_b6,0.07672372628793535,0.037943973681950315,1.0136627679457888e-05,0.2105147540569305,0.05463005416095254,0.8916302618633232,-0.2007205196179458,0.4763480974184319,
c_heavy_s4_r010_b3,0.17821965289227554,0.07564884523704951,0.003002141835168,0.419280469417572,0.108859196305275,0.8982500040364702,-0.19405484400417974,0.5254829281495924,
c_heavy_s4_r012_b1.5,0.3118159615322783,0.11621585097183257,0.0268842503428459,0.6433979272842407,0.1686880737543106,0.9098433553617534,-0.18397466804830415,0.5525868533502467,
c_heavy_s4_r012_b3,0.31060577142247703,0.11742032422900983,0.0231950357556343,0.650842547416687,0.1699882671236992,0.9079834279008894,-0.18433826098710737,0.5514558089194307,
c_heavy_s4_r06_b1.5,0.02731098443462627,0.01494693575441097,2.47535172093194e-05,0.084857203066349,0.0214184876531363,0.8774163241983807,-0.20553920271629136,0.45035144515335046,
c_heavy_s4_r06_b3,0.02245526254294049,0.013270051129266878,1.4151592608868668e-07,0.0752565935254097,0.018899788148701253,0.8697489792370323,-0.2050897412494942,0.43065581266445246,
c_heavy_s4_r08_b1.5,0.08425405052137928,0.039697497612929164,0.0004574484482873,0.2223131358623504,0.057058051228523296,0.8914182682465406,-0.20074222549296933,0.4925516216312233,
c_heavy_s4_r010_b1.5,0.18261345792699835,0.0758863751014042,0.0053917975164949,0.4229166507720947,0.1093202456831932,0.898510089928923,-0.19337602319851802,0.530239386585234,
c_heavy_s4_r010_b6,0.17707769153891817,0.0756103124974253,0.0024166752118617,0.4177611768245697,0.10868863388895991,0.8989310152529324,-0.1942638175238504,0.5241402464194173,
