cv,family,mean,std,median,IQR,p05,p95,span_01_99,entropy,BC,nw_k1200
strand_cross_all_r010_b3,strand packing,0.4484311079130295,0.1522334072826018,0.4561990201473236,0.2356492131948471,0.19253143221139907,0.6861226081848145,0.6022960367798805,0.9292243201767245,0.4671954668977767,18
cresb_heavy_s4_r012_b1.5,contact resbal,0.6014761638707212,0.19665025197998098,0.6409862336908299,0.2932119251224041,0.2205918417702714,0.8554081960771731,0.7687683820633816,0.9290025924882916,0.5521186304697919,22
crat_heavy_s4_n6m10_r010,contact rational,0.48493915595421355,0.13820858152369053,0.5038549900054932,0.20622745156288147,0.22920254617929453,0.6813471376895904,0.5633720168471337,0.9285314933216853,0.48499837486341457,16
cresb_sca_s4_r012_b6,contact resbal,0.4747397016528446,0.1954932752787303,0.4864459762614174,0.28022266751741653,0.12479642732436819,0.7758090730974981,0.8280819615660305,0.9280084628286296,0.426688778527961,24
c_bb_s3_r08_b6,contact,0.3387655759139531,0.1580492658871477,0.3349363505840301,0.2440149858593941,0.09149432107806198,0.6015444099903107,0.6273988103121519,0.9276004608839717,0.45945425484253005,18
c_bb_s2_r08_b1.5,contact,0.46073192509869304,0.12043422731580128,0.4622904360294342,0.18230153620243073,0.2637906163930893,0.6550944507122041,0.48361741542816145,0.9275318192719149,0.4485756428326606,14
c_ca_s2_r08_b3,contact,0.4517494292628778,0.11813226797811854,0.4517797231674194,0.18039295077323914,0.26321001946926115,0.6489196121692657,0.4699771371483802,0.9272651847802824,0.4525739640821486,14
c_ca_s3_r08_b3,contact,0.29964609977552525,0.15123248681138082,0.2994391918182373,0.23097342997789388,0.0587160989642143,0.5523928999900819,0.6015105221793056,0.927207483050001,0.45337468261719016,17
crat_ca_s4_n6m10_r08,contact rational,0.3861414166748351,0.1485288730535882,0.3966191112995147,0.22777841985225672,0.13385343402624122,0.6161822438240051,0.5877654024958611,0.9268921888466803,0.46555702590057413,17
cresb_sca_s4_r012_b3,contact resbal,0.4749055514318974,0.1934926646364311,0.4876269305124879,0.27737096340315026,0.12785748231058,0.7726478867924395,0.8221020001834718,0.926563758122034,0.42672015874770663,24
restorpca_pc2,res-torsion PCA,5.904050579102539e-17,0.9963809745182136,0.0246076279678902,1.461066934860687,-1.6640292838200914,1.6112794646548645,4.143454919977278,0.9257533932626336,0.42832891243831944,123
torpca_pc2,torsion PCA,-9.768441960267875e-08,0.9964876734204863,0.022474915,1.4504573299999999,-1.65620788,1.6150698700000006,4.173204224,0.9250623994681766,0.42405916159344875,124
c_ca_s3_r08_b6,contact,0.2949485104104662,0.15372545709502844,0.2934585511684418,0.23455616086721426,0.049762155488133425,0.5541721820831299,0.6174117594212293,0.9247492357056516,0.4529465853646069,18
crat_ca_s4_n6m10_r010,contact rational,0.5743889874006319,0.16432991473038347,0.6020790934562683,0.2407713532447815,0.26690531969070436,0.8008315861225128,0.657617188692093,0.9243162947956868,0.5118791378924699,19
c_bb_s4_r08_b3,contact,0.25920619836461906,0.17516572929841387,0.2432517111301422,0.28035217896103864,0.01270936606451865,0.565378725528717,0.6640436461940408,0.9242673221156384,0.5077208004513547,19
cresb_bb_s4_r08_b3,contact resbal,0.2592061984591101,0.17516572933491603,0.2432516989786,0.28035217230873455,0.012709367488111733,0.5653787103259847,0.6640436261785883,0.9242673221156384,0.5077208013338976,19
c_bb_s2_r08_b3,contact,0.4645828214343977,0.12662146848010647,0.4640138447284698,0.19333039224147797,0.26201387345790855,0.6712509334087372,0.5087074208259581,0.9241446956563534,0.44962119598076894,15
d_e5_t8_ca,geometry,7.7284154601058095,1.432211491543853,7.88049197050424,2.3061634430578453,5.40094401766398,9.987042522580772,5.593872820945376,0.9239112127455543,0.48040285860467397,167
c_ca_s2_r08_b6,contact,0.45137316052047943,0.11957674042077164,0.4502331018447876,0.18253634870052338,0.2604720026254654,0.6531778931617737,0.4802419814467429,0.9238613408193408,0.4529607240282849,14
cresb_heavy_s4_r08_b3,contact resbal,0.1936718726618673,0.1172364787581657,0.1910760696101666,0.18585053928369002,0.01706142580054792,0.3916286873112148,0.45276655103407354,0.9238591111852122,0.4815117697033845,13
crat_ca_s4_n6m12_r08,contact rational,0.2960692668155733,0.14664476927910114,0.2976579070091247,0.23063704371452337,0.06391102299094195,0.536401891708374,0.5736509361863136,0.9227603960286169,0.47031986021643446,17
