,bond,angle,torsion,nonbonded,gb_solvation,total
survivor_10010_basin_10489_nma_bh_candidate_7315_gencluster_2211_conf_229535_implicit_min_hop_003_mode02_m0.75A_implicit_min,18.896772384643555,85.51083374023438,373.6961364746094,-546.2214775085449,-1490.4280185699463,-1558.5462929010391
survivor_10011_basin_10490_candidate_4336_gencluster_4336_conf_473226_implicit_min,16.6940975189209,60.677001953125,369.11871337890625,-598.8626365661621,-1467.6040487289429,-1619.9771083593369
survivor_10012_basin_10492_candidate_10276_gencluster_5431_conf_678742_implicit_min,15.887723922729492,70.01377868652344,389.60931396484375,-765.4714097976685,-1333.7326736450195,-1623.6936685740948
survivor_10013_basin_10493_nma_bh_candidate_4031_gencluster_4031_conf_031735_implicit_min_hop_003_mode01_p1.35A_implicit_min,18.233041763305664,80.82831573486328,371.4361572265625,-513.0978283882141,-1583.4944219589233,-1626.0948314368725
survivor_10014_basin_10494_nma_bh_candidate_5403_gencluster_5403_conf_274955_implicit_min_hop_000_mode02_p0.75A_implicit_min,18.899799346923828,69.63716125488281,354.4729919433594,-419.8741569519043,-1614.754406929016,-1591.6181596517563
survivor_10015_basin_10495_candidate_5763_gencluster_246_conf_501454_implicit_min,16.711868286132812,67.08231353759766,367.99786376953125,-380.17884731292725,-1643.0266313552856,-1571.4133667945862
survivor_10016_basin_10496_candidate_11536_gencluster_1715_conf_412703_implicit_min,17.84471893310547,63.26847839355469,385.7336120605469,-270.8579707145691,-1766.8791975975037,-1570.8898820579052
survivor_10017_basin_10498_candidate_2370_gencluster_2370_conf_161939_implicit_min,20.944116592407227,83.44192504882812,343.1767578125,-450.52616024017334,-1583.3007349967957,-1586.2639926075935
survivor_10018_basin_10499_candidate_7932_gencluster_2940_conf_647427_implicit_min,18.599498748779297,78.40257263183594,388.02789306640625,-464.5044412612915,-1585.575553894043,-1565.0501036643982
survivor_1001_basin_1032_nma_bh_candidate_4027_gencluster_4027_conf_000221_implicit_min_hop_000_mode01_m0.75A_implicit_min,18.826385498046875,77.26708984375,378.5788879394531,-452.27505683898926,-1588.0659246444702,-1565.6684294641018
survivor_1002_basin_1033_nma_bh_candidate_9423_gencluster_4541_conf_121610_implicit_min_hop_000_mode01_p0.75A_implicit_min,16.700183868408203,58.66257858276367,362.4910888671875,-375.5368824005127,-1645.6259651184082,-1583.3096461892128
survivor_1003_basin_1034_nma_bh_candidate_4832_gencluster_4832_conf_418652_implicit_min_hop_000_mode01_m1.35A_implicit_min,17.313182830810547,65.76566314697266,381.0302734375,-431.7076139450073,-1627.7489557266235,-1595.3469532728195
survivor_1004_basin_1035_nma_bh_candidate_7630_gencluster_2587_conf_369811_implicit_min_hop_000_mode02_p0.75A_implicit_min,16.161935806274414,63.75878143310547,371.8776550292969,-552.1346039772034,-1483.3369522094727,-1583.672921821475
survivor_1005_basin_1036_nma_bh_candidate_8404_gencluster_3459_conf_618888_implicit_min_hop_001_mode02_p0.75A_implicit_min,18.519853591918945,67.5185546875,352.6368408203125,-405.4645776748657,-1625.0850143432617,-1591.8744339495897
survivor_1006_basin_1037_candidate_9010_gencluster_4102_conf_504085_implicit_min,17.91602325439453,65.23243713378906,352.9994812011719,-489.60594177246094,-1530.2042217254639,-1583.6625928282738
survivor_1007_basin_1039_nma_bh_candidate_3568_gencluster_3568_conf_780399_implicit_min_hop_001_mode02_m1.35A_implicit_min,17.405048370361328,69.9425048828125,379.0385437011719,-396.1124849319458,-1658.8051776885986,-1588.5322215557098
survivor_1008_basin_1041_nma_bh_candidate_6545_gencluster_1173_conf_180678_implicit_min_hop_000_mode01_p1.35A_implicit_min,19.91079330444336,83.208984375,367.37982177734375,-550.3233642578125,-1511.0825271606445,-1590.9062223434448
survivor_1009_basin_1042_nma_bh_candidate_9715_gencluster_4845_conf_779760_implicit_min_hop_001_mode01_m0.75A_implicit_min,19.593414306640625,72.29641723632812,369.7989807128906,-709.8256549835205,-1346.2238388061523,-1594.361214697361
