cv,family,mean,std,skew,exkurt,min,p05,median,p95,max,IQR,span_p05_95,span_p01_99,entropy,eff_states,BC,nw_k1200,nw_k250
crat_heavy_s4_n8m14_r010,contact rational,0.41862007499043713,0.153038684818192,-0.2382704896737601,-0.667519610523982,0.0523000285029411,0.14759288579225538,0.4338883757591247,0.6511239916086197,0.7666510939598083,0.2262287512421608,0.5035311058163643,0.6277335806190968,0.9453091268345302,16.977569976943222,0.45218108926268114,18,8
crat_heavy_s4_n6m12_r010,contact rational,0.3828728446576196,0.14169187117944176,-0.19561826199112248,-0.6733379928721295,0.0487908571958541,0.13473170846700666,0.3954858481884002,0.6014243811368942,0.7153184413909912,0.20840824395418162,0.46669267266988756,0.5834277181327342,0.9439486123892944,16.908514687464628,0.44537124939849054,17,7
c_sca_s4_r012_b6,contact,0.4214856773620276,0.197788788188459,0.028759491678154198,-0.6708822447114264,6.296102947089821e-05,0.09346255436539647,0.4251526296138763,0.7474480718374252,0.9376263618469238,0.29075257480144506,0.6539855174720288,0.816111948247999,0.9434060323677124,16.88105349783448,0.4288596093716012,24,11
c_sca_s4_r012_b3,contact,0.4221260722164451,0.1960867974737386,0.020319257351397703,-0.6706861137433742,0.0004032064171042,0.09709499999880784,0.42572686076164246,0.7466849207878112,0.9327486753463744,0.2879624664783478,0.6495899207890033,0.8066022488474845,0.9427551145037513,16.848167927975766,0.4286460822734467,24,11
c_ca_s2_r08_b1.5,contact,0.4318428416466955,0.11476584693542853,0.12430861110669876,-0.7655383750613263,0.19463512301445,0.2523483365774154,0.4307229816913605,0.6165791094303131,0.733757734298706,0.17925414443016058,0.36423077285289773,0.4634756432473658,0.9427010986440767,16.845441827645207,0.45352185989835525,13,6
c_bb_s4_r012_b1.5,contact,0.6844020750127771,0.23114292464358688,-0.6579792406287364,-0.5648334128464207,0.0726535096764564,0.2418390125036239,0.7373859882354736,0.968380755186081,0.9964556694030762,0.35487551987171173,0.7265417426824571,0.8631598006933928,0.9426249016141983,16.841597026514506,0.5873310281485636,25,11
cresb_bb_s4_r012_b1.5,contact resbal,0.6844020757965558,0.23114292404438397,-0.6579792402623298,-0.5648334140786471,0.072653512780865,0.24183901565238122,0.7373859983469759,0.9683807347235934,0.9964556381815955,0.3548755357707185,0.7265417190712122,0.8631597199512735,0.9426249016141983,16.841597026514506,0.5873310282475694,25,11
cresb_ca_s4_r012_b1.5,contact resbal,0.6728694606964098,0.23665538298474928,-0.6472938759876797,-0.5254601609864475,0.0367559634503864,0.222639720638593,0.7179076806420372,0.9709013162624268,0.9968605779466176,0.3599420910080273,0.7482615956238339,0.898411506428605,0.9416673198317214,16.7933534637596,0.5723771292331347,26,12
c_ca_s4_r012_b1.5,contact,0.6728694611621387,0.2366553829666832,-0.6472938829552102,-0.5254601552142901,0.0367559604346752,0.22263971567153926,0.717907726764679,0.9709012299776076,0.9968605041503906,0.3599420636892319,0.7482615143060684,0.8984114795923234,0.9416673198317214,16.7933534637596,0.5723771315388874,26,12
cresb_sca_s4_r012_b1.5,contact resbal,0.4592617259620721,0.18549482694363312,-0.2617099978628756,-0.5934512410352442,0.0048856027033409,0.12705302341125418,0.4802861794309093,0.7389597339707393,0.8836163746348272,0.27150898206674356,0.6119067105594851,0.7704562526573485,0.9412622430289072,16.77298706142851,0.44315085690401557,23,10
c_sca_s4_r012_b1.5,contact,0.4243566201564851,0.1900484831290791,-0.009773328506176718,-0.6690699785146648,0.0034439289011061,0.1080135062336921,0.42803099751472473,0.7357945382595062,0.9159978628158568,0.27928189933300024,0.6277810320258141,0.7826733857393264,0.9398447762066885,16.70191407648918,0.4282135832016909,23,10
crat_heavy_s4_n6m10_r08,contact rational,0.29987808237145397,0.11236989297541922,-0.05009604023248185,-0.6684516048013123,0.048051718622446,0.11057068444788454,0.3060597777366638,0.47785623371601105,0.5884613394737244,0.1663614101707935,0.3672855492681265,0.46487523205578324,0.9393835195290402,16.678851284074867,0.4291336108460809,13,6
c_ca_s3_r012_b1.5,contact,0.7517553727336341,0.17921127269631126,-0.6576651902910244,-0.4990121032679147,0.2604860067367553,0.41039217710494996,0.7854101359844208,0.9770639300346374,0.9970187544822692,0.2715936005115509,0.5666717529296874,0.6815836206078529,0.9381435663040166,16.61701148376182,0.5717369050703588,20,9
c_ca_s2_r012_b1.5,contact,0.8068700458343864,0.1393940795828727,-0.6577374500964811,-0.4988414175813336,0.4247147440910339,0.5413580894470215,0.8330358266830444,0.982135236263275,0.9976550340652466,0.21128557622432698,0.4407771468162536,0.5301549929380416,0.9381301498624287,16.61634362514331,0.5717358927656087,15,7
