variant,metric,checkpoint_index,n_epochs,frac_total,bin,x,F_kcal_mol,P,count
epoch,cv_distance,7,7,0.3556908298894225,8,0.2943364518073698,0.2981050696891203,0.02968643474047844,62231
epoch,cv_distance,7,7,0.3556908298894225,9,0.3264904373946289,0.2814653546609418,0.03052669756814569,60693
epoch,cv_distance,7,7,0.3556908298894225,10,0.35864442298188803,0.23972057456569473,0.032740873780511937,60556
epoch,cv_distance,7,7,0.3556908298894225,11,0.39079840856914716,0.16834899726896024,0.036904844615862575,61648
epoch,cv_distance,7,7,0.3556908298894225,12,0.42295239415640634,0.08173306842816297,0.042675810341946174,63470
epoch,cv_distance,7,7,0.3556908298894225,13,0.45510637974366547,0.03883638053532601,0.045859716463080846,65518
epoch,cv_distance,7,7,0.3556908298894225,14,0.4872603653309246,0.0,0.04894666221773192,68560
epoch,cv_distance,7,7,0.3556908298894225,15,0.5194143509181837,0.02849179015403891,0.04666241835594409,66467
epoch,cv_distance,7,7,0.3556908298894225,16,0.5515683365054429,0.07169017011719192,0.04340081410850605,62319
epoch,cv_distance,7,7,0.3556908298894225,17,0.5837223220927019,0.11439524862191375,0.04040060527517597,60481
epoch,cv_distance,7,7,0.3556908298894225,18,0.6158763076799612,0.12249529072832033,0.03985539460631293,60731
epoch,cv_distance,7,7,0.3556908298894225,19,0.6480302932672202,0.12558420427704742,0.03964942436610419,61353
epoch,cv_distance,7,7,0.3556908298894225,20,0.6801842788544794,0.08555694807951242,0.04240295644993375,63877
epoch,cv_distance,7,7,0.3556908298894225,21,0.7123382644417384,0.04252288035386087,0.04557700740055004,68691
epoch,cv_distance,7,7,0.3556908298894225,22,0.7444922500289977,0.015558238485946063,0.04768580736123229,70251
epoch,cv_distance,7,7,0.3556908298894225,23,0.7766462356162568,0.03804477882885782,0.04592065088424202,67329
